c_value,has_equilibrium,has_period_12,is_bistable
1.5000000000000005e-07,True,False,False
1.6567853184310116e-07,True,False,False
1.8299583942456982e-07,True,False,False
2.021232133950574e-07,True,False,False
2.2324984831135292e-07,True,False,False
2.4658471401613315e-07,True,False,False
2.7235862262095934e-07,True,False,False
3.008265115376651e-07,True,False,False
3.322699651402805e-07,True,False,False
3.6700000000000036e-07,True,False,False
